"dim_1" "dim_2"
"sample_292" 4 8
"sample_293" 10 4
"sample_294" 6 11
"sample_295" 8 4
"sample_296" 8 3
"sample_297" 1 18
"sample_298" 5 13
"sample_299" 4 11
"sample_300" 10 9
"sample_301" 6 5
"sample_302" 7 5
"sample_303" 2 12
"sample_304" 7 12
"sample_305" 7 3
"sample_306" 5 8
"sample_307" 9 3
"sample_308" 10 6
"sample_309" 9 4
"sample_310" 8 2
"sample_311" 8 5
"sample_312" 6 2
"sample_313" 4 13
"sample_314" 6 8
"sample_315" 8 5
"sample_316" 7 12
"sample_317" 6 12
"sample_318" 7 5
"sample_319" 3 12
"sample_320" 5 1
"sample_321" 8 4
"sample_322" 7 4
"sample_323" 8 5
"sample_324" 8 2
"sample_325" 8 3
"sample_326" 8 5
"sample_327" 5 17
"sample_328" 8 8
"sample_329" 9 5
"sample_330" 10 7
"sample_331" 7 2
"sample_332" 6 8
"sample_333" 1 17
"sample_334" 8 1
"sample_335" 7 1
"sample_336" 8 3
"sample_337" 7 4
"sample_338" 3 14
"sample_339" 5 4
"sample_340" 1 14
"sample_341" 2 8
"sample_342" 5 12
"sample_343" 1 16
"sample_344" 8 7
"sample_345" 8 4
"sample_346" 9 4
"sample_347" 7 2
"sample_348" 5 8
"sample_349" 6 11
"sample_350" 8 1
"sample_351" 8 5
"sample_352" 9 3
"sample_353" 7 6
"sample_354" 6 12
"sample_355" 6 7
"sample_356" 2 11
"sample_357" 9 3
"sample_358" 10 3
"sample_359" 10 2
"sample_360" 3 9
"sample_361" 7 4
"sample_362" 4 15
"sample_363" 6 11
"sample_364" 5 10
"sample_365" 9 3
"sample_366" 7 3
"sample_367" 8 4
"sample_368" 9 6
"sample_369" 9 2
"sample_370" 9 6
"sample_371" 7 4
"sample_372" 3 11
"sample_373" 7 6
"sample_374" 7 5
"sample_375" 7 9
"sample_376" 6 12
"sample_377" 1 17
"sample_378" 6 11
"sample_379" 9 5
"sample_380" 4 10
"sample_381" 9 3
"sample_382" 9 3
"sample_383" 7 3
"sample_384" 6 14
"sample_385" 1 15
"sample_386" 5 10
"sample_387" 9 1
"sample_388" 9 5
"sample_389" 7 5
"sample_390" 5 10
"sample_391" 9 4
"sample_392" 7 13
"sample_393" 7 5
"sample_394" 9 3
"sample_395" 9 8
"sample_396" 7 5
"sample_397" 9 4
"sample_398" 5 9
"sample_399" 2 15
"sample_400" 2 13
"sample_401" 8 3
"sample_402" 6 3
"sample_403" 2 12
"sample_404" 8 3
"sample_405" 9 2
"sample_406" 9 3
"sample_407" 8 4
"sample_408" 3 17
"sample_409" 10 3
"sample_410" 3 13
"sample_411" 7 9
"sample_412" 8 3
"sample_413" 8 2
"sample_414" 8 7
"sample_415" 5 7
"sample_416" 8 2
"sample_417" 7 2
"sample_418" 9 6
"sample_419" 9 2
"sample_420" 10 3
"sample_421" 2 15
"sample_422" 5 12
"sample_423" 6 2
"sample_424" 8 2
"sample_425" 8 3
"sample_426" 7 9
"sample_427" 9 2
"sample_428" 8 3
"sample_429" 6 4
"sample_430" 8 4
"sample_431" 8 3
"sample_432" 8 5
"sample_433" 3 12
"sample_434" 8 1
"sample_435" 7 2
"sample_436" 9 4
"sample_437" 5 11
"sample_438" 5 9
"sample_439" 5 10
"sample_440" 6 3
"sample_441" 4 8
"sample_442" 1 15
"sample_443" 7 11
"sample_444" 9 6
"sample_445" 7 7
"sample_446" 8 5
"sample_447" 5 14
"sample_448" 7 12
"sample_449" 5 13
"sample_450" 7 10
"sample_451" 4 11
"sample_452" 2 14
"sample_453" 6 4
"sample_454" 5 9
"sample_455" 9 8
"sample_456" 8 2
"sample_457" 5 9
"sample_458" 1 16
"sample_459" 3 17
"sample_460" 7 4
"sample_461" 9 3
"sample_462" 8 6
"sample_463" 4 7
"sample_464" 6 7
"sample_465" 2 17
"sample_466" 5 11
"sample_467" 3 7
"sample_468" 3 14
"sample_469" 2 19
"sample_470" 1 16
"sample_471" 9 7
"sample_472" 9 9
"sample_473" 6 5
"sample_474" 8 5
"sample_475" 7 5
"sample_476" 5 15
"sample_477" 4 6
"sample_478" 5 0
"sample_479" 9 6
"sample_480" 3 10
"sample_481" 7 6
"sample_482" 5 9
"sample_483" 9 2
"sample_484" 2 16
"sample_485" 4 11
"sample_486" 6 10
"sample_487" 9 4
"sample_488" 7 3
"sample_489" 8 5
"sample_490" 10 7
"sample_491" 8 3
"sample_492" 6 2
"sample_493" 7 8
"sample_494" 7 5
"sample_495" 4 9
"sample_496" 5 9
"sample_497" 4 9
"sample_498" 9 6
"sample_499" 9 4
"sample_500" 6 3
"sample_501" 9 6
"sample_502" 9 5
"sample_503" 8 14
"sample_504" 4 8
"sample_505" 4 9
"sample_506" 7 4
"sample_507" 7 13
"sample_508" 4 11
"sample_509" 7 6
"sample_510" 1 18
"sample_511" 7 4
"sample_512" 8 7
"sample_513" 7 4
"sample_514" 2 19
"sample_515" 8 4
"sample_516" 9 5
"sample_517" 8 3
"sample_518" 4 10
"sample_519" 5 8
"sample_520" 5 5
"sample_521" 9 4
"sample_522" 7 10
"sample_523" 10 5
"sample_524" 5 9
"sample_525" 7 7
"sample_526" 10 3
"sample_527" 9 1
"sample_528" 6 5
"sample_529" 7 5
"sample_530" 8 6
"sample_531" 7 9
"sample_532" 6 8
"sample_533" 2 16
"sample_534" 8 4
"sample_535" 10 7
"sample_536" 5 9
"sample_537" 8 3
"sample_538" 2 14
"sample_539" 3 8
"sample_540" 7 7
"sample_541" 9 8
"sample_542" 6 8
"sample_543" 7 10
"sample_544" 2 16
"sample_545" 8 6
"sample_546" 6 10
"sample_547" 3 8
"sample_548" 8 2
"sample_549" 6 6
"sample_550" 10 2
"sample_551" 0 17
"sample_552" 8 4
"sample_553" 6 5
"sample_554" 6 3
"sample_555" 6 3
"sample_556" 2 18
"sample_557" 8 3
"sample_558" 7 6
"sample_559" 2 15
"sample_560" 5 10
"sample_561" 3 9
"sample_562" 7 11
"sample_563" 9 4
"sample_564" 8 4
"sample_565" 7 10
"sample_566" 3 14
"sample_567" 9 3
"sample_568" 6 7
"sample_569" 3 13
"sample_570" 5 10
"sample_571" 5 3
"sample_572" 0 15
"sample_573" 5 1
"sample_574" 7 10
"sample_575" 9 5
"sample_576" 1 17
"sample_577" 9 4
"sample_578" 8 4
"sample_579" 8 4
"sample_580" 8 3
"sample_581" 7 3
"sample_582" 1 12
"sample_583" 1 17
"sample_584" 3 12
"sample_585" 5 10
"sample_586" 5 13
"sample_587" 10 3
"sample_588" 7 3
"sample_589" 2 8
"sample_590" 9 4
"sample_591" 8 1
"sample_592" 6 4
"sample_593" 6 8
"sample_594" 9 6
"sample_595" 5 7
"sample_596" 7 5
"sample_597" 9 1
"sample_598" 10 3
"sample_599" 7 5
"sample_600" 5 9
"sample_601" 7 3
"sample_602" 10 2
"sample_603" 2 12
"sample_604" 6 7
"sample_605" 6 8
"sample_606" 3 9
"sample_607" 3 16
"sample_608" 8 7
"sample_609" 7 8
"sample_610" 5 10
"sample_611" 2 17
"sample_612" 4 9
"sample_613" 9 3
"sample_614" 6 5
"sample_615" 9 0
"sample_616" 2 15
"sample_617" 5 3
"sample_618" 10 3
"sample_619" 8 3
"sample_620" 10 2
"sample_621" 5 11
"sample_622" 10 1
"sample_623" 8 3
"sample_624" 5 6
"sample_625" 9 2
"sample_626" 9 5
"sample_627" 4 8
"sample_628" 1 12
"sample_629" 7 4
"sample_630" 5 13
"sample_631" 7 8
"sample_632" 7 4
"sample_633" 7 8
"sample_634" 7 3
"sample_635" 3 18
"sample_636" 3 13
"sample_637" 8 4
"sample_638" 8 3
"sample_639" 9 1
"sample_640" 10 2
"sample_641" 6 0
"sample_642" 10 2
"sample_643" 8 4
"sample_644" 5 8
"sample_645" 1 18
"sample_646" 4 9
"sample_647" 9 2
"sample_648" 2 13
"sample_649" 6 5
"sample_650" 8 4
"sample_651" 7 4
"sample_652" 9 2
"sample_653" 6 13
"sample_654" 3 11
"sample_655" 1 18
"sample_656" 3 11
"sample_657" 7 3
"sample_658" 9 2
"sample_659" 7 12
"sample_660" 5 5
"sample_661" 9 6
"sample_662" 0 17
"sample_663" 9 7
"sample_664" 7 2
"sample_665" 9 2
"sample_666" 7 4
"sample_667" 8 4
"sample_668" 8 4
"sample_669" 7 3
"sample_670" 5 8
"sample_671" 1 17
"sample_672" 9 4
"sample_673" 7 6
"sample_674" 5 1
"sample_675" 7 4
"sample_676" 9 6
"sample_677" 4 6
"sample_678" 8 8
"sample_679" 7 7
"sample_680" 8 4
"sample_681" 9 4
"sample_682" 9 3
"sample_683" 9 1
"sample_684" 4 11
"sample_685" 5 9
"sample_686" 9 2
"sample_687" 7 2
"sample_688" 8 5
"sample_689" 3 11
"sample_690" 8 6
"sample_691" 2 13
"sample_692" 8 2
"sample_693" 4 10
"sample_694" 7 9
"sample_695" 4 3
"sample_696" 9 7
"sample_697" 9 6
"sample_698" 1 14
"sample_699" 7 5
"sample_700" 6 4
"sample_701" 3 4
"sample_702" 6 8
"sample_703" 7 3
"sample_704" 7 2
"sample_705" 8 11
"sample_706" 9 5
"sample_707" 8 4
"sample_708" 10 2
"sample_709" 3 2
"sample_710" 9 6
"sample_711" 4 10
"sample_712" 4 13
"sample_713" 9 3
"sample_714" 3 10
"sample_715" 8 3
"sample_716" 8 4
"sample_717" 8 4
"sample_718" 9 7
"sample_719" 5 10
"sample_720" 9 6
"sample_721" 9 4
"sample_722" 2 12
"sample_723" 8 10
"sample_724" 5 12
"sample_725" 7 2
"sample_726" 8 5
"sample_727" 9 4
"sample_728" 9 3
"sample_729" 6 10
"sample_730" 9 3
"sample_731" 1 16
"sample_732" 0 14
"sample_733" 6 10
"sample_734" 9 1
"sample_735" 9 4
"sample_736" 2 5
"sample_737" 8 4
"sample_738" 8 5
"sample_739" 9 4
"sample_740" 5 10
"sample_741" 7 5
"sample_742" 6 4
"sample_743" 9 3
"sample_744" 8 1
"sample_745" 8 6
"sample_746" 8 3
"sample_747" 6 10
"sample_748" 8 6
"sample_749" 8 4
"sample_750" 4 10
"sample_751" 0 16
"sample_752" 7 3
"sample_753" 8 5
"sample_754" 9 3
"sample_755" 8 3
"sample_756" 3 6
"sample_757" 4 11
"sample_758" 7 2
"sample_759" 6 5
"sample_760" 7 3
"sample_761" 8 4
"sample_762" 4 7
"sample_763" 7 11
"sample_764" 7 7
"sample_765" 8 9
"sample_766" 7 12
"sample_767" 3 13
"sample_768" 4 9
"sample_769" 3 10
"sample_770" 7 9
"sample_771" 9 4
"sample_772" 7 9
"sample_773" 10 5
"sample_774" 6 5
"sample_775" 6 7
"sample_776" 2 15
"sample_777" 9 6
"sample_778" 3 19
"sample_779" 10 3
"sample_780" 8 4
"sample_781" 7 12
"sample_782" 6 4
"sample_783" 8 6
"sample_784" 9 4
"sample_785" 5 8
"sample_786" 8 4
"sample_787" 8 4
"sample_788" 7 6
"sample_789" 7 10
"sample_790" 7 6
"sample_791" 1 10
"sample_792" 10 3
"sample_793" 4 14
"sample_794" 3 14
"sample_795" 5 15
"sample_796" 3 9
"sample_797" 9 1
"sample_798" 8 6
"sample_799" 4 15
"sample_800" 7 9
"sample_801" 3 16
"sample_802" 9 5
"sample_803" 5 10
"sample_804" 1 15
"sample_805" 9 2
"sample_806" 7 8
"sample_807" 2 15
"sample_808" 8 5
"sample_809" 8 4
"sample_810" 8 5
"sample_811" 6 4
"sample_812" 7 4
"sample_813" 5 10
"sample_814" 10 5
"sample_815" 9 4
"sample_816" 9 5
"sample_817" 7 2
"sample_818" 8 1
"sample_819" 1 15
"sample_820" 9 4
"sample_821" 3 9
"sample_822" 2 13
"sample_823" 7 11
"sample_824" 9 6
"sample_825" 6 3
"sample_826" 10 5
"sample_827" 4 11
"sample_828" 5 10
"sample_829" 9 5
"sample_830" 3 12
"sample_831" 4 11
"sample_832" 8 2
"sample_833" 7 4
"sample_834" 7 3
"sample_835" 6 6
"sample_836" 9 6
"sample_837" 8 10
"sample_838" 8 4
"sample_839" 7 3
"sample_840" 10 4
"sample_841" 10 4
"sample_842" 7 0
"sample_843" 9 4
"sample_844" 9 5
"sample_845" 7 3
"sample_846" 8 5
"sample_847" 5 11
"sample_848" 9 4
"sample_849" 8 5
"sample_850" 8 4
"sample_851" 3 14
"sample_852" 8 5
"sample_853" 10 3
"sample_854" 8 5
"sample_855" 8 6
"sample_856" 8 2
"sample_857" 4 13
"sample_858" 5 13
"sample_859" 4 7
"sample_860" 6 10
"sample_861" 9 5
"sample_862" 7 3
"sample_863" 5 5
"sample_864" 5 9
"sample_865" 6 4
"sample_866" 7 2
"sample_867" 7 8
"sample_868" 9 6
"sample_869" 8 4
"sample_870" 6 5
"sample_871" 9 2
"sample_872" 7 11
"sample_873" 6 10
"sample_874" 6 7
"sample_875" 5 2
"sample_876" 7 9
"sample_877" 2 14
"sample_878" 9 3
"sample_879" 9 0
"sample_880" 9 5
"sample_881" 8 3
"sample_882" 10 4
"sample_883" 7 3
"sample_884" 9 3
"sample_885" 8 3
"sample_886" 9 7
"sample_887" 9 2
"sample_888" 7 2
"sample_889" 8 6
"sample_890" 6 8
"sample_891" 2 13
"sample_892" 8 7
"sample_893" 7 3
"sample_894" 10 1
"sample_895" 8 5
"sample_896" 9 2
"sample_897" 10 6
"sample_898" 3 10
"sample_899" 5 8
"sample_900" 4 7
"sample_901" 3 19
"sample_902" 1 12
"sample_903" 2 8
"sample_904" 7 6
"sample_905" 5 11
"sample_906" 8 6
"sample_907" 5 11
"sample_908" 8 4
"sample_909" 0 18
"sample_910" 7 2
"sample_911" 7 4
"sample_912" 4 9
"sample_913" 8 3
"sample_914" 10 6
"sample_915" 8 4
"sample_916" 2 15
"sample_917" 8 4
"sample_918" 9 7
"sample_919" 8 3
"sample_920" 8 3
"sample_921" 2 9
"sample_922" 10 3
"sample_923" 0 16
"sample_924" 9 3
"sample_925" 9 2
"sample_926" 8 2
"sample_927" 6 6
"sample_928" 6 14
"sample_929" 5 11
"sample_930" 7 3
"sample_931" 10 5
"sample_932" 5 11
"sample_933" 7 8
"sample_934" 10 6
"sample_935" 9 6
"sample_936" 7 4
"sample_937" 5 9
"sample_938" 7 7
"sample_939" 3 14
"sample_940" 7 2
"sample_941" 5 4
"sample_942" 10 3
"sample_943" 4 13
"sample_944" 6 8
"sample_945" 3 11
"sample_946" 10 3
"sample_947" 7 9
"sample_948" 7 10
"sample_949" 8 3
"sample_950" 5 13
"sample_951" 9 2
"sample_952" 8 5
"sample_953" 8 3
"sample_954" 8 3
"sample_955" 9 2
"sample_956" 3 18
"sample_957" 7 2
"sample_958" 4 10
"sample_959" 2 19
"sample_960" 8 8
"sample_961" 7 7
"sample_962" 6 4
"sample_963" 8 6
"sample_964" 8 4
"sample_965" 6 6
"sample_966" 7 1
"sample_967" 6 6
"sample_968" 7 5
"sample_969" 5 9
"sample_970" 5 14
"sample_971" 5 17
"sample_972" 6 5
"sample_973" 5 2
"sample_974" 6 8
"sample_975" 5 12
"sample_976" 8 3
"sample_977" 9 7
"sample_978" 8 13
"sample_979" 8 3
"sample_980" 3 10
"sample_981" 7 1
"sample_982" 8 5
"sample_983" 5 9
"sample_984" 8 7
"sample_985" 7 5
"sample_986" 2 15
"sample_987" 6 12
"sample_988" 9 2
"sample_989" 10 2
"sample_990" 9 3
"sample_991" 0 16
"sample_992" 5 5
"sample_993" 5 11
"sample_994" 7 3
"sample_995" 7 2
"sample_996" 7 1
"sample_997" 6 2
"sample_998" 10 2
"sample_999" 7 5
"sample_1000" 5 7
